"" , "$Gender missing" , 6177535
"$local" , "female" , 245492
"http://id.loc.gov/authorities/demographicTerms/dg2015060004" , "Females" , 108832
"http://id.loc.gov/authorities/subjects/sh2002006249" , "Women" , 2891
"$local" , "male" , 495051
"http://id.loc.gov/authorities/demographicTerms/dg2015060003" , "Males" , 227383
"$local" , "(lcdgt) males" , 3388
"http://id.loc.gov/authorities/subjects/sh85080137" , "Males" , 58462
"http://id.loc.gov/authorities/subjects/sh85047734" , "Females" , 36000
"$local" , "(iso5218) male" , 1250
"$local" , "not known" , 3295
"$local" , "Male" , 1662
"http://id.loc.gov/authorities/demographicTerms/dg2015060359" , "Men" , 5599
"http://id.loc.gov/authorities/subjects/sh85083510" , "Men" , 2776
"$local" , "(lcdgt) male" , 429
"$local" , "(lcsh) male" , 52
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/demographicTerms/dg2015060359" , "Males+Men" , 16
"http://id.loc.gov/authorities/demographicTerms/dg2015060358" , "Women" , 3023
"$local" , "(lcsh) males" , 95
"$local" , "Female" , 857
"$local+http://id.loc.gov/authorities/subjects/sh85083510" , "eng+Men" , 3
"$local" , "(iso5218) female" , 900
"$local" , "(lcgft) Females" , 57
"$local" , "(lcdgt) female" , 210
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/demographicTerms/dg2015060359" , "male+Males+Men" , 165
"$local" , "(lcdgt) females" , 1975
"$local" , "ita" , 6
"$local" , "eng" , 141
"$local" , "(iso5218) Female" , 157
"$local" , "(lcdgt) men" , 496
"$local" , "males" , 195
"$local" , "Females" , 214
"$local" , "women" , 1
"$local" , "(iso5218) Male" , 325
"$local" , "Not known" , 82
"$local" , "(iso5218) not known" , 70
"$local+http://id.loc.gov/authorities/subjects/sh85028378" , "female+College teachers" , 3
"$local" , "(lcdgt) M ales" , 1
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060003" , "male+Males" , 238
"$local" , "female+male" , 24
"$local" , "Males" , 413
"$local+http://id.loc.gov/authorities/subjects/sh85080137" , "spa+Males" , 2
"$local" , "(lcsh) females" , 67
"$local" , "mal" , 14
